year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2020	PSI	CONCOURS COMMUN INP	Bordeaux INP - ENSEIRB-MATMECA Informatique										10	10,0%	0,0%	1828	1635	10
2020	PSI	CONCOURS COMMUN INP	Bordeaux INP - ENSEIRB-MATMECA Math̩matiques et M̩canique										23	17,4%	21,7%	1965	1902	16
2020	PSI	CONCOURS COMMUN INP	Bordeaux INP - ENSEIRB-MATMECA T̩lecom.										21	33,3%	9,5%	2381	2323	16
2020	PSI	CONCOURS COMMUN INP	Bordeaux INP - ENSPIMA										7	28,6%	14,3%	2082	2005	5
2020	PSI	CONCOURS COMMUN INP	CPE LYON Sciences du num̩rique										8	25,0%	37,5%	3186	3042	10
2020	PSI	CONCOURS COMMUN INP	EISTI Cergy - Pau										25	20,0%	16,0%	3384	3348	20
2020	PSI	CONCOURS COMMUN INP	ENAC Toulouse Civil										28	21,4%	32,1%	1211	1147	34
2020	PSI	CONCOURS COMMUN INP	ENAC Toulouse Fonctionnaire										5	0,0%	0,0%	646	621	5
2020	PSI	CONCOURS COMMUN INP	ENGEES Strasbourg Civil (apprenti)										3	33,3%	0,0%	3161	3151	2
2020	PSI	CONCOURS COMMUN INP	ENGEES Strasbourg Civil (̩tudiant)										12	58,3%	16,7%	2499	2562	10
2020	PSI	CONCOURS COMMUN INP	ENGEES Strasbourg Fonctionnaire										3	66,7%	0,0%	1671	1719	3
2020	PSI	CONCOURS COMMUN INP	ENSGTI Pau - Energ̩tique										12	41,7%	8,3%	3466	3234	12
2020	PSI	CONCOURS COMMUN INP	ENSI Poitiers - G̩nie de l'Eau et G̩nie Civil										8	12,5%	12,5%	2280	2322	7
2020	PSI	CONCOURS COMMUN INP	ENSI Poitiers Energie										16	43,8%	37,5%	3143	3078	20
2020	PSI	CONCOURS COMMUN INP	ENSICAEN Electronique et Physique Appliqu̩e										10	20,0%	40,0%	3062	3000	12
2020	PSI	CONCOURS COMMUN INP	ENSICAEN Informatique										5	20,0%	0,0%	2459	2352	5
2020	PSI	CONCOURS COMMUN INP	ENSMM Besan̤on										48	37,5%	14,6%	2817	2720	54
2020	PSI	CONCOURS COMMUN INP	Grenoble INP - ENSE3										78	25,6%	11,5%	1657	1606	80
2020	PSI	CONCOURS COMMUN INP	Grenoble INP - Pagora										7	42,9%	0,0%	2934	2911	11
2020	PSI	CONCOURS COMMUN INP	Grenoble INP - Phelma (Physique Electronique T̩l̩coms)										41	14,6%	12,2%	1528	1358	43
2020	PSI	CONCOURS COMMUN INP	Grenoble INP - Phelma (Physique Mat̩riaux Proc̩d̩s)										30	43,3%	16,7%	980	963	31
2020	PSI	CONCOURS COMMUN INP	Grenoble INP - ENSIMAG										13	15,4%	23,1%	612	554	10
2020	PSI	CONCOURS COMMUN INP	Grenoble INP - Esisar										7	14,3%	14,3%	2160	2177	12
2020	PSI	CONCOURS COMMUN INP	ISAE-ENSMA Poitiers										60	18,3%	13,3%	1160	1092	58
2020	PSI	CONCOURS COMMUN INP	ISIMA Clermont-Ferrand										9	33,3%	11,1%	3031	3005	8
2020	PSI	CONCOURS COMMUN INP	Lorraine INP - ENSEM - Energie										36	22,2%	11,1%	3340	3169	37
2020	PSI	CONCOURS COMMUN INP	Lorraine INP - ENSEM - Sp̩cialit̩ des syst̬mes num̩riques										16	25,0%	12,5%	2974	2964	12
2020	PSI	CONCOURS COMMUN INP	Lorraine INP - ENSIC										9	44,4%	22,2%	2833	2643	9
2020	PSI	CONCOURS COMMUN INP	SeaTech Toulon										26	30,8%	42,3%	2519	2494	29
2020	PSI	CONCOURS COMMUN INP	SIGMA Clermont-Ferrand - sp̩cialit̩ m̩canique avanc̩e										45	15,6%	22,2%	2814	2720	60
2020	PSI	CONCOURS COMMUN INP	SUPMECA Paris										51	19,6%	23,5%	2032	1972	50
2020	PSI	CONCOURS COMMUN INP	TELECOM PHYSIQUE Strasbourg										24	29,2%	20,8%	2270	2277	28
2020	PSI	CONCOURS COMMUN INP	Toulouse INP - ENSEEIHT - Electronique-Energie-Automatique (EEA)										44	29,5%	27,3%	1459	1345	43
2020	PSI	CONCOURS COMMUN INP	Toulouse INP - ENSEEIHT - M̩canique des Fluides-Energetique-Environnement (MFEE)										22	31,8%	27,3%	1115	998	20
2020	PSI	CONCOURS COMMUN INP	Toulouse INP - ENSEEIHT - Sciences du Num̩rique										50	6,0%	12,0%	1406	1368	44
2020	PSI	CONCOURS COMMUN INP	Toulouse INP - ENSIACET - G̩nie des Proc̩d̩s										11	36,4%	36,4%	2161	2149	11
2020	PSI	CONCOURS COMMUN INP	Toulouse INP - ENSIACET - G̩nie Industriel										19	10,5%	5,3%	2084	2076	15
2020	PSI	CONCOURS COMMUN INP	Concours CCINP PSI	5301	24,9%	16,6%				3652	23,2%	17,7%	875					877
2020	PSI	BANQUE EPREUVES CCINP Inter-Fili̬re	ENSIL - ENSCI Limoges C̩ramique Industrielle										5	40,0%	20,0%	1994*	1905*	45*
2020	PSI	BANQUE EPREUVES CCINP Inter-Fili̬re	ENSIL - ENSCI Limoges EE										5	20,0%	20,0%	1707*	1644*	28*
2020	PSI	BANQUE EPREUVES CCINP Inter-Fili̬re	ENSIL - ENSCI Limoges ELT										13	7,7%	0,0%	1726*	1611*	28*
2020	PSI	BANQUE EPREUVES CCINP Inter-Fili̬re	ENSIL - ENSCI Limoges Mat̩riaux										4	0,0%	0,0%	1658*	1499*	22*
2020	PSI	BANQUE EPREUVES CCINP Inter-Fili̬re	ENSIL - ENSCI Limoges M̩catronique										12	16,7%	41,7%	1180	1134	22*
2020	PSI	BANQUE EPREUVES CCINP Inter-Fili̬re	Concours ENSIL-ENSCI Inter Fil.	1102	29,9%	15,0%				835	28,9%	14,1%	39					145
2020	PSI	BANQUE EPREUVES CCINP Inter-Fili̬re	Grenoble INP - G̩nie Industriel	1655	27,7%	17,8%				941	24,2%	20,9%	31	25,8%	41,9%	1520	1440	76*
2020	PSI	BANQUE EPREUVES CCINP Inter-Fili̬re	Lorraine INP - EEIGM	473	34,5%	15,0%				221	35,7%	15,4%	1	100,0%	0,0%	456	438	10*
2020	PSI	BANQUE EPREUVES CCINP Inter-Fili̬re	Lorraine INP - ENSGSI	910	33,7%	14,3%				574	33,3%	15,7%	7	42,9%	42,9%	1210	1101	38*
2020	PSI	BANQUE EPREUVES CCINP	ECOLE DE L'AIR Base	875	20,2%	24,9%				203	14,3%	43,3%	3	66,7%	66,7%	51	53	3
2020	PSI	BANQUE EPREUVES CCINP	ECOLE DE L'AIR M̩ca	846	19,6%	24,3%				194	13,4%	43,8%	8	12,5%	62,5%	89	76	8
2020	PSI	BANQUE EPREUVES CCINP	ECOLE DE L'AIR Pilote	929	19,2%	23,3%				231	16,5%	35,5%	23	4,3%	73,9%	32	31	23
2020	PSI	BANQUE EPREUVES CCINP	ENAC Toulouse - Contr̫leurs a̩riens	1055	25,7%	21,0%				175	33,7%	26,9%	37	32,4%	40,5%	48	48	39
2020	PSI	BANQUE EPREUVES CCINP	ENSISA Mulhouse Automatique et Syst̬mes Embarqu̩s										7	0,0%	0,0%	562	536	8
