year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2020	pc	BANQUE EPREUVES CCINP  Inter-Filière	ENSIL-ENSCI Limoges EE										11	36.4	54.5	1707	1644	28
2020	pc	BANQUE EPREUVES CCINP  Inter-Filière	ENSIL-ENSCI Limoges ELT										4	25.0	0.0	1726	1611	28
2020	pc	BANQUE EPREUVES CCINP  Inter-Filière	ENSIL-ENSCI Limoges Matériaux										14	42.9	42.9	1658	1499	22
2020	pc	BANQUE EPREUVES CCINP  Inter-Filière	ENSIL-ENSCI Limoges Mécatronique										1	0.0	0.0	1180	1134	22
2020	pc	BANQUE EPREUVES CCINP  Inter-Filière	¥Concours ENSIL-ENSCI Inter Fil.	971	46.3	18.6				768	47.5	20.2	42					145
2020	pc	BANQUE EPREUVES CCINP  Inter-Filière	Grenoble INP-Génie Industriel	1154	36.9	20.1				450	33.1	23.1	3	0.0	66.7	1520	1440	76
2020	pc	BANQUE EPREUVES CCINP  Inter-Filière	Lorraine INP-EEIGM	497	51.5	19.1				265	54.0	18.9	3	0.0	0.0	456	438	10
2020	pc	BANQUE EPREUVES CCINP  Inter-Filière	Lorraine INP-ENSGSI	687	43.7	18.9				483	44.3	21.3	6	50.0	33.3	1210	1101	38
2020	pc	BANQUE EPREUVES CCINP	ECOLE DE L'AIR Base	555	26.5	24.9				94	20.2	51.1	2	0.0	0.0	43	43	2
2020	pc	BANQUE EPREUVES CCINP	ECOLE DE L'AIR Méca	512	25.4	26.4				83	22.9	54.2	4	25.0	100.0	47	44	4
2020	pc	BANQUE EPREUVES CCINP	ECOLE DE L'AIR Pilote	595	24.9	23.9				109	18.3	42.2	13	15.4	53.8	27	27	13
2020	pc	BANQUE EPREUVES CCINP	ENAC Toulouse-Contrôleurs aériens	850	32.4	22.2				134	41.8	23.9	23	34.8	34.8	38	35	23
2020	pc	BANQUE EPREUVES CCINP	ENSISA Mulhouse Automatique et Systèmes Embarqués										4	25.0	25.0	451	447	4
2020	pc	BANQUE EPREUVES CCINP	ENSISA Mulhouse Informatique et réseaux										4	0.0	50.0	444	447	4
2020	pc	BANQUE EPREUVES CCINP	ENSISA Mulhouse Mécanique										4	25.0	50.0	360	335	5
2020	pc	BANQUE EPREUVES CCINP	ENSISA Mulhouse Textile et Fibres										9	66.7	22.2	547	534	9
2020	pc	BANQUE EPREUVES CCINP	¥Concours ENSISA PC	790	43.7	18.6				693	44.3	19.5	21					22
2020	pc	BANQUE EPREUVES CCINP	EOST Strasbourg	580	48.1	17.8				486	48.8	18.3	12	50.0	41.7	280	269	13
2020	pc	BANQUE EPREUVES CCINP	ESCOM Chimie Compiègne	1343	52.0	17.1				607	51.4	18.5	4	50.0	75.0	526	506	20
