year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSMM Besancon	¥	¥	¥	¥	¥	¥	¥	¥	¥	3303	34	21	41	33
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSEIRB Electronique	¥	¥	¥	¥	¥	¥	¥	¥	¥	2541	41	22	39	34
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSEIRB Informatique	¥	¥	¥	¥	¥	¥	¥	¥	¥	2199	39	10	36	45
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSEIRB Telecom	¥	¥	¥	¥	¥	¥	¥	¥	¥	2151	20	10	35	21
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSIETA Brest civil	¥	¥	¥	¥	¥	¥	¥	¥	¥	2389	33	21	45	36
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSICAEN Electronique	¥	¥	¥	¥	¥	¥	¥	¥	¥	3317	24	12	42	22
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSICAEN : informatique	¥	¥	¥	¥	¥	¥	¥	¥	¥	3306	39	8	33	40
2004	MP	CONC. COMM. POLYTECHNIQUE	ISIMA Clermont-Fd	¥	¥	¥	¥	¥	¥	¥	¥	¥	3124	44	14	23	40
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSEE Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	2462	7	57	0	8
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSER Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	1891	37	19	41	36
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSHMG Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	1697	25	32	40	25
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSIEG	¥	¥	¥	¥	¥	¥	¥	¥	¥	2623	52	17	27	48
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSP Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	1510	35	37	43	32
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSIMA Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	786	88	20	41	87
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSERG-ENSIMAG:Telec	¥	¥	¥	¥	¥	¥	¥	¥	¥	985	32	19	47	32
2004	MP	CONC. COMM. POLYTECHNIQUE	EFPG Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	3288	22	45	18	19
2004	MP	CONC. COMM. POLYTECHNIQUE	CPE Lyon (Elec.)	¥	¥	¥	¥	¥	¥	¥	¥	¥	3003	11	36	27	18
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSEM Nancy	¥	¥	¥	¥	¥	¥	¥	¥	¥	3208	39	18	36	36
