year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENGEES Strasbourg Fonctionnaire										3	66,7%	33,3%	2051	1993		3
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSGTI Pau - G̩nie des Proc̩d̩s										20	60,0%	30,0%	3130	3022		18
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSI Poitiers Energie										18	22,2%	16,7%	2669	2665		17
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSICAEN G̩nie Physique et syst̬mes Embarqu̩s										21	14,3%	19,0%	2757	2516		20
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSICAEN Informatique										10	10,0%	40,0%	2637	2553		8
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSMM Besan̤on										23	21,7%	26,1%	2479	2438		25
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP - ENSE3										65	30,8%	21,5%	1414	1371		60
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP - Pagora										21	57,1%	38,1%	3052	3045		18
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP - Phelma (Physique Electronique T̩l̩coms)										34	23,5%	38,2%	1294	1221		34
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP - Phelma (Physique Mat̩riaux Proc̩d̩s)										72	31,9%	26,4%	941	886		65
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP - ENSIMAG										12	0,0%	16,7%	471	428		10
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP - Esisar										6	33,3%	0,0%	2283	2243		6
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ISAE-ENSMA Poitiers										27	14,8%	25,9%	1256	1202		28
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ISAE-Supm̩ca Paris										19	31,6%	31,6%	1871	1876		22
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ISIMA Clermont-Ferrand										8	25,0%	12,5%	3067	3050		8
