year	filiere	banque	ehcole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	SIGMA Clermont-Ferrand (ex ENSCCF)										35	62.9	25.7	2345	2283	36
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	Toulouse INP-ENSIACET-Chimie										32	71.9	25.0	1295	1286	30
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	Toulouse INP-ENSIACET-Génie chimique										34	47.1	23.5	1689	1607	34
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	Toulouse INP-ENSIACET-Matériaux										34	41.2	20.6	1940	1827	33
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	¥Concours CCINP PC-Chimie	4658	37.1	21.7	3543	37.3	23.9	3086	38.6	23.4	546					543
2019	pc	BANQUE EPREUVES CCINP Inter-Filière	Lorraine INP-EEIGM	441	48.3	17.9	265	49.1	20.8	23	65.2	13.0	5	100.0	20.0	47	44	10
2019	pc	BANQUE EPREUVES CCINP Inter-Filière	ENSIL-ENSCI Limoges Céramique Industrielle	482	44.2	20.5	408	45.8	21.6	102	43.1	24.5	22	31.8	27.3	126	115	45
2019	pc	BANQUE EPREUVES CCINP Inter-Filière	Lorraine INP-ENSGSI	601	45.4	19.6	401	46.1	20.4	76	48.7	23.7	14	50.0	21.4	96	89	35
2019	pc	BANQUE EPREUVES CCINP Inter-Filière	ESM Saint-Cyr	473	20.7	26.2	130	20.8	36.9	43	16.3	48.8	15	6.7	33.3	82	84	76
2019	pc	BANQUE EPREUVES CCINP Inter-Filière	Grenoble INP-Génie Industriel	1004	39.3	21.4	360	38.9	26.7	56	44.6	23.2	7	14.3	28.6	124	161	76
2019	pc	BANQUE EPREUVES CCINP	ECOLE DE L'AIR Base	470	26.0	27.2	158	25.9	37.3	30	26.7	56.7	1	0.0	0.0	12	12	1
2019	pc	BANQUE EPREUVES CCINP	ECOLE DE L'AIR Méca	423	25.3	27.7	141	25.5	38.3	27	25.9	59.3	3	66.7	100.0	19	19	3
2019	pc	BANQUE EPREUVES CCINP	ECOLE DE L'AIR Pilote	524	24.6	26.0	164	23.8	33.5	26	19.2	50.0	12	8.3	66.7	10	10	12
2019	pc	BANQUE EPREUVES CCINP	ENSISA Mulhouse Automatique et Systèmes Embarqués										6	0.0	33.3	42	50	4
