year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	appeles	integres_nb	integres_filles	integres_cinq_demi	places
2002	PT	AUTRES ECOLES	ESTP-BAT										278	9	0	67	10
2002	PT	AUTRES ECOLES	ESTP MECA-ELEC										272	3	0	67	3
2002	PT	AUTRES ECOLES	ESTP-GEOMETRES										317	5	20	40	3
2002	PT	AUTRES ECOLES	ESTP Paris PT	504	7 %	37 %	393	6 %	44 %	363	7 %	46 %					26
2002	PT	AUTRES ECOLES	ESIM Marseille										83	1	0	0	5
2002	PT	AUTRES ECOLES	ISMEA Marseille										169	2	0	50	5
2002	PT	AUTRES ECOLES	ESIM/ISMEA Marseille PT	256	13 %	38 %	189	11 %	47 %	169	11 %	49 %					10
2002	PT	AUTRES ECOLES	IFMA Clermont-Fd	945	8 %	32 %	543	6 %	39 %	304	6 %	37 %	241	63	3	21	62
2002	PT	AUTRES ECOLES	ISEP Paris	140	12 %	33 %	106	10 %	37 %	72	8 %	40 %	46	5	0	0	5
2002	PT	AUTRES ECOLES	ISMANS	194	9 %	39 %	178	8 %	40 %	156	8 %	40 %	156	3	0	0	30
2002	PT	AUTRES ECOLES	MATMECA	174	9 %	44 %	108	6 %	52 %	25	8 %	52 %	25	1	0	0	5
2002	PT	AUTRES ECOLES	Telecom INT	318	9 %	35 %	89	8 %	29 %	48	15 %	31 %	26	5	0	0	5
