year,concours,prepa,ville,etablissement,inscrits,inscrits dont filles,admissibles,admissibles dont filles,classes,classes dont filles,integres,integres dont filles
2002,ccp,PC,PARIS 05,LOUIS LE GRAND,66,26,51,23,25,15,4,2
2002,ccp,PC,PARIS 06,STANISLAS,24,5,22,5,16,4,3,1
2002,ccp,PC,PARIS 06,FENELON,34,13,33,12,29,12,13,6
2002,ccp,PC,PARIS 06,SAINT LOUIS,175,70,166,65,144,60,25,12
2002,ccp,PC,PARIS 08,CHAPTAL,64,23,57,23,43,19,10,7
2002,ccp,PC,PARIS 08,SAINTE MARIE FENELON,37,8,31,7,26,6,12,4
2002,ccp,PC,PARIS 09,CONDORCET,28,10,24,8,22,7,9,4
2002,ccp,PC,PARIS 09,JACQUES DECOUR,39,8,38,8,28,4,8,2
2002,ccp,PC,PARIS 13,ENSCPB,38,15,23,9,21,8,12,6
2002,ccp,PC,PARIS 15,BUFFON,27,9,24,8,19,8,7,3
2002,ccp,PC,PARIS 15,OURANIA,13,3,12,3,11,2,4,1
2002,ccp,PC,PARIS 15,FRESNEL,8,2,5,2,5,2,4,2
2002,ccp,PC,PARIS 16,JANSON DE SAILLY,95,27,83,23,76,23,26,13
2002,ccp,PC,PARIS 17,CARNOT,24,9,20,8,14,6,12,6
2002,ccp,PC,PARIS 17,HONORE DE BALZAC,26,6,16,4,15,4,9,4
2002,ccp,PC,SAVIGNY SUR ORGE,J. B. COROT,22,5,21,5,20,5,9,3
2002,ccp,PC,SCEAUX,LAKANAL,66,18,64,18,57,16,19,5
2002,ccp,PC,ST GERMAIN EN LAYE,JEANNE D'ALBRET,30,3,23,3,19,3,7,2
2002,ccp,PC,ST MAUR DES FOS.,MARCELIN BERTHELOT,61,20,55,19,51,18,22,10
2002,ccp,PC,VANVES,MICHELET,27,11,25,9,24,8,13,4
2002,ccp,PC,VERSAILLES,SAINTE GENEVIEVE,133,34,129,34,71,21,11,5
2002,ccp,PC,VERSAILLES,HOCHE,75,25,74,24,65,23,27,10
2002,ccp,PC,LA ROCHELLE,J. DAUTET,12,3,10,3,7,1,4,1
2002,ccp,PC,POITIERS,CAMILLE GUERIN,38,9,35,8,28,7,14,4
2002,ccp,PC,REIMS,FRANKLIN ROOSEVELT,74,32,50,18,36,14,25,12
2002,ccp,PC,TROYES,CHRESTIEN DE TROYES,17,6,6,3,5,2,3,1
2002,ccp,PC,BREST,KERICHEN,47,17,36,14,27,11,16,6
2002,ccp,PC,BREST,SAINTE ANNE,17,3,7,1,5,1,4,1
2002,ccp,PC,LORIENT,DUPUY DE LOME,18,5,6,1,2,1,1,0
2002,ccp,PC,RENNES,CHATEAUBRIAND,84,21,78,19,71,17,32,6
2002,ccp,PC,SAINT-BRIEUC,RABELAIS,21,10,13,5,10,4,4,1
2002,ccp,PC,EVREUX,ARISTIDE BRIAND,27,7,11,3,9,3,6,2
2002,ccp,PC,LE HAVRE,FRANCOIS 1ER,31,8,27,7,26,7,16,3
2002,ccp,PC,ROUEN,CORNEILLE,67,23,61,22,50,21,21,8
2002,ccp,PC,MULHOUSE,A. SCHWEITZER,30,10,21,6,17,5,14,4
2002,ccp,PC,STRASBOURG,FUSTEL DE COULANGES,38,12,26,11,22,9,11,3
2002,ccp,PC,STRASBOURG,KLEBER,66,25,58,21,51,17,28,11
2002,ccp,PC,TOULOUSE,BELLEVUE,42,10,40,10,37,8,16,7
2002,ccp,PC,TOULOUSE,DEODAT DE SEVERAC,26,9,21,7,18,7,9,4
2002,ccp,PC,BALMA,SALIEGE,79,19,64,16,60,16,18,6
2002,ccp,PC,TOULOUSE,PIERRE DE FERMAT,59,11,49,9,46,9,15,7
2002,ccp,PC,MONTBONNOT,PUPILLES DE L'AIR,15,7,12,6,5,2,2,0
2002,ccp,PC,CAEN,SAINTE MARIE,15,4,5,0,2,0,1,0
2002,ccp,PC,AVIGNON,SAINT JOSEPH,39,11,16,3,11,2,6,2
2002,ccp,PC,RENNES,ASSOMPTION,22,9,13,6,12,5,6,4
2002,ccp,PC,ALBI,LAPEROUSE,22,8,9,4,7,3,4,3
2002,ccp,PC,PERIGUEUX,BERTRAN-DE-BORN,10,1,3,0,2,0,0,0
2002,ccp,PC,SAINT-QUENTIN,PIERRE DE LA RAMEE,14,0,0,0,0,0,0,0
2002,ccp,PC,PARIS 04,IPESUP,13,5,11,5,8,4,0,0
2002,ccp,PC,LYON,JEAN PERRIN,23,11,14,8,13,7,8,3
2002,ccp,PC,AIX-EN-PROVENCE,LYCEE MILITAIRE,22,2,16,1,13,1,8,0
2002,ccp,PC,ORLEANS,SAINT CHARLES,3,0,0,0,0,0,0,0
2002,ccp,PC,PARIS,URANIE,20,3,4,0,2,0,0,0
