year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2023	PSI	Concours Mines - T̩l̩com	ENSG Nancy (Oral S̩rie 2)	4289	25,7%	17,7%	3020	24,9%	18,0%	2732	25,4%	17,6%	4	25,0%	25,0%	1982	1869		5
2023	PSI	Concours Mines - T̩l̩com	ENSG-G̩omatique Marne la Vall̩e (Oral S̩rie 2)	4289	25,7%	17,7%	3020	24,9%	18,0%	2732	25,4%	17,6%	2	100,0%	50,0%	2464	2464		3
2023	PSI	Concours Mines - T̩l̩com	ENSG-G̩omatique Marne la Vall̩e Fonctionnaire (Oral S̩rie 2)	4289	25,7%	17,7%	2921	24,5%	18,1%	2641	25,0%	17,7%	3	33,3%	0,0%	2267	2264		5
2023	PSI	Concours Mines - T̩l̩com	ENSIIE Evry (Oral S̩rie 1)	4289	25,7%	17,7%	2342	24,6%	18,7%	2262	24,7%	18,0%	18	11,1%	33,3%	1774	1788		17
2023	PSI	Concours Mines - T̩l̩com	ENSSAT Lannion (Oral S̩rie 2)	4289	25,7%	17,7%	3020	24,9%	18,0%	2732	25,4%	17,6%	13	30,8%	38,5%	2251	2079		17
2023	PSI	Concours Mines - T̩l̩com	ENSTA Bretagne (fili̬re sous statut ̩tudiant) (Oral S̩rie 1)	4289	25,7%	17,7%	2342	24,6%	18,7%	2262	24,7%	18,0%	44	31,8%	13,6%	716	681		43
2023	PSI	Concours Mines - T̩l̩com	ENSTA Bretagne (fili̬re sous statut IETA - Direction G̩n̩rale de l'Armement) (Oral S̩rie 1)	4289	25,7%	17,7%	2063	23,7%	20,4%	1993	23,7%	19,7%	13	15,4%	38,5%	687	623		13
2023	PSI	Concours Mines - T̩l̩com	ENTPE Lyon Civil (Oral S̩rie 1)	4289	25,7%	17,7%	2342	24,6%	18,7%	2262	24,7%	18,0%	22	45,5%	13,6%	1484	1286		21
2023	PSI	Concours Mines - T̩l̩com	ENTPE Lyon Fonctionnaire (Oral S̩rie 1)	4289	25,7%	17,7%	2266	24,1%	18,8%	2189	24,2%	18,2%	32	25,0%	31,2%	1733	1585		32
2023	PSI	Concours Mines - T̩l̩com	EURECOM (Oral S̩rie 1)	4289	25,7%	17,7%	2342	24,6%	18,7%	2262	24,7%	18,0%	11	27,3%	9,1%	1962	1901		7
2023	PSI	Concours Mines - T̩l̩com	IMT Mines Albi (Oral S̩rie 1)	4289	25,7%	17,7%	2342	24,6%	18,7%	2262	24,7%	18,0%	58	25,9%	20,7%	1658	1605		50
2023	PSI	Concours Mines - T̩l̩com	IMT Mines Al̬s (Oral S̩rie 1)	4289	25,7%	17,7%	2342	24,6%	18,7%	2262	24,7%	18,0%	59	39,0%	15,3%	1157	1113		58
2023	PSI	Concours Mines - T̩l̩com	IMT Nord Europe (Oral S̩rie 1)	4289	25,7%	17,7%	2342	24,6%	18,7%	2262	24,7%	18,0%	57	38,6%	12,3%	1580	1537		50
2023	PSI	Concours Mines - T̩l̩com	IMT Nord Europe Fonct. (Oral S̩rie 1)	4289	25,7%	17,7%	2266	24,1%	18,8%	2189	24,2%	18,2%	3	33,3%	0,0%	1344	1382		3
2023	PSI	Concours Mines - T̩l̩com	Institut Mines-T̩l̩com Business School (IMT-BS) (Oral S̩rie 1)	4289	25,7%	17,7%	2342	24,6%	18,7%	2262	24,7%	18,0%	1	100,0%	0,0%	2195	2195		6
2023	PSI	Concours Mines - T̩l̩com	Mines Saint Etienne-ISMIN (Oral S̩rie 1)	4289	25,7%	17,7%	2342	24,6%	18,7%	2262	24,7%	18,0%	25	20,0%	16,0%	1578	1468		28
2023	PSI	Concours Mines - T̩l̩com	TELECOM Nancy (Oral S̩rie 2)	4289	25,7%	17,7%	3020	24,9%	18,0%	2732	25,4%	17,6%	9	0,0%	11,1%	2015	1823		10
2023	PSI	Concours Mines - T̩l̩com	T̩l̩com Physique Strasbourg Informatique et R̩seaux (Oral S̩rie 1)	4289	25,7%	17,7%	2342	24,6%	18,7%	2262	24,7%	18,0%	6	33,3%	16,7%	2051	2035		8
2023	PSI	Concours Mines - T̩l̩com	T̩l̩com Physique Strasbourg TI-Sant̩ (Oral S̩rie 1)	4289	25,7%	17,7%	2342	24,6%	18,7%	2262	24,7%	18,0%	8	37,5%	0,0%	1538	1344		8
2023	PSI	Concours Mines - T̩l̩com	TELECOM St Etienne - Statut ̩tudiant (Oral S̩rie 2)	4289	25,7%	17,7%	3020	24,9%	18,0%	2732	25,4%	17,6%	28	25,0%	35,7%	2359	2273		24
2023	PSI	Concours Mines - T̩l̩com	TELECOM SudParis (Oral S̩rie 1)	4289	25,7%	17,7%	2342	24,6%	18,7%	2262	24,7%	18,0%	45	20,0%	20,0%	975	928		42
2023	PSI	Concours Commun INP	Bordeaux INP - ENSC Cognitique										10	30,0%	20,0%	2603	2476		10
2023	PSI	Concours Commun INP	Bordeaux INP - ENSEIRB-MATMECA Electronique										23	8,7%	21,7%	2240	2146		17
2023	PSI	Concours Commun INP	Bordeaux INP - ENSEIRB-MATMECA Informatique										10	20,0%	30,0%	1840	1778		8
2023	PSI	Concours Commun INP	Bordeaux INP - ENSEIRB-MATMECA Math̩matiques et M̩canique										20	25,0%	20,0%	1599	1494		16
2023	PSI	Concours Commun INP	Bordeaux INP - ENSEIRB-MATMECA T̩lecom.										19	15,8%	15,8%	2531	2456		15
2023	PSI	Concours Commun INP	Bordeaux INP - ENSPIMA										9	33,3%	11,1%	1754	1818		8
2023	PSI	Concours Commun INP	Clermont Auvergne INP - ISIMA										5	0,0%	20,0%	2991	2777		7
2023	PSI	Concours Commun INP	Clermont Auvergne INP - SIGMA - m̩canique										60	16,7%	13,3%	2628	2576		55
2023	PSI	Concours Commun INP	CPE LYON Sciences du num̩rique										1	0,0%	0,0%	3028	3028		10
2023	PSI	Concours Commun INP	CY TECH Cergy - G̩nie Civil										10	30,0%	0,0%	2914	2648		10
2023	PSI	Concours Commun INP	CY TECH Cergy-Pau - Informatique										10	10,0%	10,0%	2729	2717		10
2023	PSI	Concours Commun INP	CY TECH Cergy-Pau - Math̩matiques										9	11,1%	22,2%	2521	2602		10
2023	PSI	Concours Commun INP	ENAC Toulouse Civil										30	40,0%	26,7%	1372	1284		29
2023	PSI	Concours Commun INP	ENAC Toulouse Fonctionnaire										7	14,3%	28,6%	539	494		7
2023	PSI	Concours Commun INP	ENGEES Strasbourg Civil (apprenti)										2	0,0%	0,0%	2441	2441		2
2023	PSI	Concours Commun INP	ENGEES Strasbourg Civil (̩tudiant)										12	41,7%	8,3%	2654	2499		10
2023	PSI	Concours Commun INP	ENGEES Strasbourg Fonctionnaire										4	0,0%	25,0%	2053	1978		4
2023	PSI	Concours Commun INP	ENSAI Rennes Civil										8	25,0%	12,5%	2116	1831		3
2023	PSI	Concours Commun INP	ENSAI Rennes Fonctionnaire (Attach̩ INSEE)										2	0,0%	100,0%	2692	2692		3
2023	PSI	Concours Commun INP	ENSGTI Pau - Energ̩tique										7	42,9%	14,3%	3059	2967		12
2023	PSI	Concours Commun INP	ENSI Poitiers - G̩nie de l'Eau et G̩nie Civil										8	37,5%	12,5%	2837	2781		7
2023	PSI	Concours Commun INP	ENSI Poitiers Energie et Environnement										15	40,0%	26,7%	2807	2741		20
2023	PSI	Concours Commun INP	ENSICAEN G̩nie Physique et syst̬mes Embarqu̩s										9	33,3%	22,2%	2553	2465		12
2023	PSI	Concours Commun INP	ENSICAEN Informatique										5	0,0%	40,0%	2398	2354		5
2023	PSI	Concours Commun INP	Grenoble INP - ENSE3										75	34,7%	8,0%	1533	1454		80
2023	PSI	Concours Commun INP	Grenoble INP - ENSIMAG										6	16,7%	50,0%	245	255		5
2023	PSI	Concours Commun INP	Grenoble INP - Esisar										10	10,0%	30,0%	2873	2798		11
2023	PSI	Concours Commun INP	Grenoble INP - Pagora										6	50,0%	50,0%	2564	2585		11
2023	PSI	Concours Commun INP	Grenoble INP - Phelma (Physique Electronique T̩l̩coms)										39	20,5%	17,9%	1639	1533		40
2023	PSI	Concours Commun INP	Grenoble INP - Phelma (Physique Mat̩riaux Proc̩d̩s)										29	17,2%	13,8%	931	867		30
2023	PSI	Concours Commun INP	ISAE-ENSMA Poitiers										59	18,6%	15,3%	1158	1080		58
2023	PSI	Concours Commun INP	ISAE-Supm̩ca Paris										51	15,7%	21,6%	1831	1720		50
2023	PSI	Concours Commun INP	Lorraine INP - ENSEM - Energie										25	12,0%	16,0%	2715	2732		36
